bam_file_list	vcf_list	sample_explanation_pop_explanation	groups	altitud
./bam/PpNa1969_04:CABV0ANXX:1:508309.sort.bam	PpNa1969_04:CABV0ANXX:1:508309	PpNa196004_PpNa1960	LR>1960	982
./bam/PpNa1969_05:CABV0ANXX:1:508310.sort.bam	PpNa1969_05:CABV0ANXX:1:508310	PpNa196005_PpNa1960	LR>1960	982
./bam/PpNa1969_06:CABV0ANXX:1:508311.sort.bam	PpNa1969_06:CABV0ANXX:1:508311	PpNa196006_PpNa1960	LR>1960	982
./bam/PpNa1973_01:CABV0ANXX:3:508567.sort.bam	PpNa1973_01:CABV0ANXX:3:508567	PpNa197301_PpNa1973	LR>1960	2201
./bam/PpNa1973_02:CABV0ANXX:3:508568.sort.bam	PpNa1973_02:CABV0ANXX:3:508568	PpNa197302_PpNa1973	LR>1960	2201
./bam/PpNa1973_03:CABV0ANXX:3:508569.sort.bam	PpNa1973_03:CABV0ANXX:3:508569	PpNa197303_PpNa1973	LR>1960	2201
./bam/PpNa2003_01:CABV0ANXX:1:508382.sort.bam	PpNa2003_01:CABV0ANXX:1:508382	PpNa2003b1_PpNa2003b	LR>2000	1890
./bam/PpNa2003_01:CABV0ANXX:3:508530.sort.bam	PpNa2003_01:CABV0ANXX:3:508530	PpNa2003a6_PpNa2003a	LR>2000	1205
./bam/PpNa2003_02:CABV0ANXX:1:508383.sort.bam	PpNa2003_02:CABV0ANXX:1:508383	PpNa2003b2_PpNa2003b	LR>2000	1890
./bam/PpNa2003_02:CABV0ANXX:3:508531.sort.bam	PpNa2003_02:CABV0ANXX:3:508531	PpNa2003a7_PpNa2003a	LR>2000	1205
./bam/PpNa2003_03:CABV0ANXX:1:508384.sort.bam	PpNa2003_03:CABV0ANXX:1:508384	PpNa2003b3_PpNa2003b	LR>2000	1890
./bam/PpNa2003_03:CABV0ANXX:3:508533.sort.bam	PpNa2003_03:CABV0ANXX:3:508533	PpNa2003a8_PpNa2003a	LR>2000	1205
